Register Value,Player Name,Salary in $,Season Start,Season End,Team,Full Team Name
11238,Semaj Christon,543471,2016,2017,OKC,Oklahoma City Thunder
11239,Serge Ibaka,12250000,2016,2017,TOR,Toronto Raptors 
11240,Sergio Rodriguez,8000000,2016,2017,PHI,Philadelphia 76ers
11241,Seth Curry,2898000,2016,2017,DAL,Dallas Mavericks
11242,Shabazz Muhammad,3046299,2016,2017,MIN,Minnesota Timberwolves
11243,Shabazz Napier,1350120,2016,2017,POR,Portland Trail Blazers
11244,Shaun Livingston,5782450,2016,2017,GSW,Golden State Warriors
11245,Shawn Long,96969,2016,2017,PHI,Philadelphia 76ers
11246,Sheldon McClellan,543471,2016,2017,WAS,Washington Wizards
11247,Shelvin Mack,2433334,2016,2017,UTA,Utah Jazz
11248,Skal Labissiere,1188840,2016,2017,SAC,Sacramento Kings
11249,Solomon Hill,11241218,2016,2017,NOH,New Orleans Pelicans
11250,Spencer Dinwiddie,726672,2016,2017,NJN,Brooklyn Nets
11251,Spencer Hawes,6348759,2016,2017,MIL,Milwaukee Bucks
11252,Stanley Johnson,2969880,2016,2017,DET,Detroit Pistons
11253,Stefan Jankovic,100000,2016,2017,MIA,Miami Heat
11254,Stephen Curry,12112359,2016,2017,GSW,Golden State Warriors
11255,Stephen Zimmerman,950000,2016,2017,ORL,Orlando Magic
11256,Steve Novak,1551659,2016,2017,MIL,Milwaukee Bucks
11257,Steven Adams,3140517,2016,2017,OKC,Oklahoma City Thunder
11258,T.J. McConnell,874636,2016,2017,PHI,Philadelphia 76ers
11259,T.J. Warren,2128920,2016,2017,PHO,Phoenix Suns
11260,Taj Gibson,8950000,2016,2017,OKC,Oklahoma City Thunder
11261,Tarik Black,6191000,2016,2017,LAL,Los Angeles Lakers
11262,Taurean Waller-Prince,2318280,2016,2017,ATL,Atlanta Hawks
11263,Terrence Jones,1050961,2016,2017,NOH,New Orleans Pelicans
11264,Terrence Jones,236457,2016,2017,MIL,Milwaukee Bucks
11265,Terrence Ross,10000000,2016,2017,ORL,Orlando Magic
11266,Terry Rozier,1906440,2016,2017,BOS,Boston Celtic
11267,Thabo Sefolosha,3850000,2016,2017,ATL,Atlanta Hawks
11268,Thaddeus Young,14153652,2016,2017,IND,Indiana Pacers
11269,Thomas Robinson,1050961,2016,2017,LAL,Los Angeles Lakers
11270,Thomas Walkup,69500,2016,2017,CHI,Chicago Bulls
11271,Thon Maker,2568600,2016,2017,MIL,Milwaukee Bucks
11272,Tiago Splitter,8550000,2016,2017,PHI,Philadelphia 76ers
11273,Tibor Pleiss,3000000,2016,2017,PHI,Philadelphia 76ers
11274,Tim Duncan,1881250,2016,2017,SAS,San Antonio Spurs
11275,Tim Frazier,2090000,2016,2017,NOH,New Orleans Pelicans
11276,Tim Hardaway,2281605,2016,2017,ATL,Atlanta Hawks
11277,Timofey Mozgov,16000000,2016,2017,LAL,Los Angeles Lakers
11278,Timothe Luwawu-Cabarrot,1326960,2016,2017,PHI,Philadelphia 76ers
11279,Tobias Harris,17200000,2016,2017,DET,Detroit Pistons
11280,Tomas Satoransky,2870813,2016,2017,WAS,Washington Wizards
11281,Toney Douglas,603558,2016,2017,MEM,Memphis Grizzlies
